Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Weekend
20,-3.5,46,0.0,1.0,-13.4,0.0,0.0,0.0,1,0,0
21,-3.7,47,0.0,1.0,-13.3,0.0,0.0,0.0,1,0,0
22,-2.8,49,0.0,1.0,-12.0,0.0,0.0,0.0,1,0,0
23,-2.5,59,0.0,0.605,-9.4,0.0,0.0,0.0,1,0,0
0,-2.8,77,0.0,0.1655,-6.2,0.0,0.1,0.1,1,0,0
1,-3.0,79,0.0,0.1465,-6.1,0.0,0.0,0.3,1,0,0
2,-3.0,79,0.0,0.931,-6.1,0.0,0.0,0.4,1,0,0
3,-3.2,78,0.0,0.904,-6.4,0.0,0.2,0.4,1,0,0
4,-3.4,75,0.0,0.991,-7.2,0.0,0.0,0.4,1,0,0
5,-3.6,76,0.0,0.967,-7.2,0.0,0.0,0.4,1,0,0
6,-3.7,76,0.0,0.932,-7.3,0.0,0.0,0.4,1,0,0
7,-4.2,77,0.0,0.8705,-7.6,0.0,0.0,0.3,1,0,0
8,-4.2,78,0.0,0.759,-7.4,0.01,0.0,0.2,1,0,0
9,-3.3,70,0.0,0.662,-7.9,0.25,0.0,0.2,1,0,0
10,-0.9,64,0.0,0.612,-6.8,0.63,0.0,0.2,1,0,0
11,1.6,57,1.2,0.6305,-6.0,0.93,0.0,0.0,1,0,0
12,2.4,52,0.9,0.612,-6.4,1.08,0.0,0.0,1,0,0
13,4.2,47,1.1,0.7345,-6.1,1.1,0.0,0.0,1,0,0
14,5.5,34,1.0,0.983,-9.1,0.96,0.0,0.0,1,0,0
15,5.5,31,3.1,0.984,-10.3,0.72,0.0,0.0,1,0,0
16,5.3,37,2.9,1.0,-8.2,0.36,0.0,0.0,1,0,0
17,4.1,60,2.5,0.7825,-2.9,0.1,0.0,0.0,1,0,0
18,1.7,90,1.0,0.033,0.2,0.0,0.3,0.3,1,0,0
19,1.2,92,0.7,0.09,0.0,0.0,0.0,1.0,1,0,0
20,1.2,94,0.6,0.114,0.3,0.0,0.0,1.0,1,0,0
21,1.1,92,0.5,0.1175,0.0,0.0,0.7,1.0,1,0,0
22,1.3,92,0.6,0.1165,0.1,0.0,0.0,1.0,1,0,0
23,1.3,92,0.6,0.1045,0.1,0.0,0.0,1.0,1,0,0
0,1.4,92,0.5,0.12,0.2,0.0,0.0,0.9,1,0,0
1,1.5,92,0.4,0.1135,0.3,0.0,0.0,0.9,1,0,0
2,1.4,92,0.7,0.084,0.2,0.0,0.0,0.9,1,0,0
3,1.9,91,1.4,0.109,0.5,0.0,0.0,0.9,1,0,0
4,1.6,92,0.7,0.0595,0.4,0.0,0.0,0.9,1,0,0
5,1.5,92,1.1,0.0875,0.3,0.0,0.0,0.9,1,0,0
6,1.0,93,0.5,0.074,0.0,0.0,0.0,0.9,1,0,0
7,0.3,93,0.5,0.0865,-0.7,0.0,0.0,0.9,1,0,0
8,-0.2,96,0.8,0.0865,-0.7,0.01,0.0,0.8,1,0,0
9,0.1,91,0.8,0.1325,-1.1,0.14,0.0,0.8,1,0,0
10,1.1,83,0.7,0.1555,-1.4,0.41,0.0,0.7,1,0,0
11,2.3,69,1.7,0.314,-2.8,0.63,0.0,0.6,1,0,0
12,3.7,65,2.4,0.4165,-2.2,0.98,0.0,0.3,1,0,0
13,4.1,37,3.1,0.8835,-9.3,1.14,0.0,0.0,1,0,0
14,4.4,36,2.7,0.9875,-9.4,1.04,0.0,0.0,1,0,0
15,4.0,35,3.1,0.981,-10.1,0.84,0.0,0.0,1,0,0
16,3.2,38,2.9,0.9085,-9.7,0.51,0.0,0.0,1,0,0
17,2.1,50,2.0,0.717,-7.2,0.15,0.0,0.0,1,0,0
18,0.7,46,2.7,0.779,-9.6,0.0,0.0,0.0,1,0,0
19,-0.4,47,2.5,0.6345,-10.3,0.0,0.0,0.0,1,0,0
20,-1.4,47,2.5,0.81,-11.2,0.0,0.0,0.0,1,0,0
21,-2.2,46,2.2,0.9875,-12.2,0.0,0.0,0.0,1,0,0
22,-2.7,48,2.6,0.922,-12.2,0.0,0.0,0.0,1,0,0
23,-3.2,50,2.1,0.9435,-12.1,0.0,0.0,0.0,1,0,0
0,-3.5,49,2.6,0.9465,-12.6,0.0,0.0,0.0,1,0,0
1,-3.7,50,2.5,0.951,-12.6,0.0,0.0,0.0,1,0,0
2,-4.3,53,1.0,0.959,-12.4,0.0,0.0,0.0,1,0,0
3,-4.8,52,1.6,0.989,-13.1,0.0,0.0,0.0,1,0,0
4,-5.3,53,2.4,0.968,-13.4,0.0,0.0,0.0,1,0,0
5,-5.8,56,2.0,0.9705,-13.1,0.0,0.0,0.0,1,0,0
6,-6.0,56,3.5,0.9265,-13.3,0.0,0.0,0.0,1,0,0
7,-6.5,57,0.8,0.888,-13.6,0.0,0.0,0.0,1,0,0
8,-7.0,59,0.8,0.7795,-13.6,0.01,0.0,0.0,1,0,0
9,-6.7,50,0.9,0.746,-15.4,0.23,0.0,0.0,1,0,0
10,-5.3,44,2.8,0.758,-15.6,0.63,0.0,0.0,1,0,0
11,-3.7,39,1.4,0.7975,-15.6,0.93,0.0,0.0,1,0,0
12,-2.0,30,1.4,0.864,-17.3,1.14,0.0,0.0,1,0,0
13,-1.7,28,1.8,0.9815,-17.8,1.22,0.0,0.0,1,0,0
14,-1.3,27,3.1,0.953,-17.9,1.12,0.0,0.0,1,0,0
15,-0.8,26,3.3,0.9885,-17.9,0.87,0.0,0.0,1,0,0
16,-1.1,24,3.4,1.0,-19.1,0.56,0.0,0.0,1,0,0
17,-2.4,30,2.7,1.0,-17.6,0.18,0.0,0.0,1,0,0
18,-3.1,33,1.2,1.0,-17.1,0.0,0.0,0.0,1,0,0
19,-3.3,35,1.1,1.0,-16.6,0.0,0.0,0.0,1,0,0
20,-3.3,34,1.5,1.0,-16.9,0.0,0.0,0.0,1,0,0
21,-3.3,35,0.5,1.0,-16.6,0.0,0.0,0.0,1,0,0
22,-3.4,39,1.2,1.0,-15.4,0.0,0.0,0.0,1,0,0
23,-3.5,43,0.9,1.0,-14.3,0.0,0.0,0.0,1,0,0
0,-3.5,48,0.9,0.9835,-12.9,0.0,0.0,0.0,1,0,1
1,-4.1,49,0.6,1.0,-13.2,0.0,0.0,0.0,1,0,1
2,-4.7,50,0.7,0.9915,-13.5,0.0,0.0,0.0,1,0,1
3,-4.3,47,0.6,0.996,-13.9,0.0,0.0,0.0,1,0,1
4,-4.3,49,0.7,1.0,-13.4,0.0,0.0,0.0,1,0,1
5,-4.7,49,0.8,0.9995,-13.8,0.0,0.0,0.0,1,0,1
6,-5.1,53,0.9,0.9875,-13.2,0.0,0.0,0.0,1,0,1
7,-5.5,56,0.8,0.975,-12.9,0.0,0.0,0.0,1,0,1
8,-5.4,56,0.7,0.97,-12.8,0.01,0.0,0.0,1,0,1
9,-4.7,48,1.0,0.892,-14.0,0.23,0.0,0.0,1,0,1
10,-2.2,42,1.3,0.823,-13.4,0.61,0.0,0.0,1,0,1
11,0.0,45,1.1,0.75,-10.5,0.89,0.0,0.0,1,0,1
12,2.4,40,0.8,0.9045,-9.8,1.05,0.0,0.0,1,0,1
13,3.9,36,2.0,0.851,-9.8,1.13,0.0,0.0,1,0,1
14,4.7,32,2.2,0.974,-10.6,1.06,0.0,0.0,1,0,1
15,5.2,30,2.0,0.9815,-11.0,0.84,0.0,0.0,1,0,1
16,4.4,33,1.6,0.9815,-10.5,0.4,0.0,0.0,1,0,1
17,3.5,37,1.8,0.9815,-9.8,0.1,0.0,0.0,1,0,1
18,2.5,41,1.0,0.987,-9.4,0.0,0.0,0.0,1,0,1
19,1.5,48,0.4,0.939,-8.3,0.0,0.0,0.0,1,0,1
20,0.8,51,1.4,0.924,-8.2,0.0,0.0,0.0,1,0,1
21,-0.1,55,0.7,0.827,-8.0,0.0,0.0,0.0,1,0,1
22,-0.5,55,0.6,0.8275,-8.4,0.0,0.0,0.0,1,0,1
23,-0.1,54,1.3,0.785,-8.3,0.0,0.0,0.0,1,0,1
0,-0.2,55,1.0,0.8145,-8.1,0.0,0.0,0.0,1,0,1
1,-0.2,54,0.5,0.8735,-8.4,0.0,0.0,0.0,1,0,1
2,0.2,52,0.7,0.863,-8.5,0.0,0.0,0.0,1,0,1
3,0.3,53,0.5,0.874,-8.1,0.0,0.0,0.0,1,0,1
4,0.4,52,1.6,0.908,-8.3,0.0,0.0,0.0,1,0,1
5,0.3,74,1.0,0.089,-3.7,0.0,0.0,0.7,1,0,1
6,-0.5,90,0.9,0.0455,-1.9,0.0,2.5,2.7,1,0,1
7,-0.4,92,1.1,0.0605,-1.5,0.0,0.0,4.0,1,0,1
8,-0.2,90,1.2,0.189,-1.6,0.0,0.0,4.1,1,0,1
9,0.2,90,1.0,0.1525,-1.2,0.0,1.6,4.3,1,0,1
10,0.5,91,0.4,0.0715,-0.8,0.0,0.0,4.3,1,0,1
11,0.9,92,0.9,0.0685,-0.2,0.03,0.0,3.9,1,0,1
12,2.3,88,0.3,0.1225,0.5,0.28,0.0,3.1,1,0,1
13,3.3,87,1.1,0.115,1.3,0.54,0.0,2.1,1,0,1
14,4.2,85,0.7,0.1625,1.8,0.65,0.0,1.4,1,0,1
15,6.7,63,4.5,0.3575,0.1,0.35,0.0,1.0,1,0,1
16,5.4,71,3.5,0.311,0.5,0.2,0.0,0.5,1,0,1
17,3.6,65,4.3,0.5305,-2.3,0.03,0.0,0.4,1,0,1
18,2.0,61,3.0,1.0,-4.7,0.0,0.0,0.0,1,0,1
19,1.6,53,4.0,1.0,-6.9,0.0,0.0,0.0,1,0,1
20,0.6,57,3.9,0.977,-6.9,0.0,0.0,0.0,1,0,1
21,0.0,59,3.0,0.931,-7.0,0.0,0.0,0.0,1,0,1
22,-1.0,56,4.7,1.0,-8.6,0.0,0.0,0.0,1,0,1
23,-1.4,43,4.3,1.0,-12.3,0.0,0.0,0.0,1,0,1
0,-2.5,39,3.4,1.0,-14.5,0.0,0.0,0.0,1,0,0
1,-3.4,36,3.8,1.0,-16.3,0.0,0.0,0.0,1,0,0
2,-4.2,35,3.4,1.0,-17.4,0.0,0.0,0.0,1,0,0
3,-4.7,38,2.4,1.0,-16.8,0.0,0.0,0.0,1,0,0
4,-5.2,35,3.2,1.0,-18.3,0.0,0.0,0.0,1,0,0
5,-5.6,38,3.2,0.987,-17.6,0.0,0.0,0.0,1,0,0
6,-5.9,39,2.9,0.9895,-17.6,0.0,0.0,0.0,1,0,0
7,-6.0,39,3.1,0.998,-17.7,0.0,0.0,0.0,1,0,0
8,-6.0,38,3.6,0.997,-18.0,0.01,0.0,0.0,1,0,0
9,-5.9,36,5.1,0.9705,-18.6,0.1,0.0,0.0,1,0,0
10,-5.3,32,4.5,1.0,-19.4,0.62,0.0,0.0,1,0,0
11,-4.7,36,3.8,1.0,-17.5,1.0,0.0,0.0,1,0,0
12,-5.2,33,4.6,0.9865,-19.0,1.26,0.0,0.0,1,0,0
13,-5.4,32,5.1,0.993,-19.5,1.24,0.0,0.0,1,0,0
14,-5.4,31,4.1,0.9725,-19.9,1.13,0.0,0.0,1,0,0
15,-5.5,33,4.5,1.0,-19.2,0.92,0.0,0.0,1,0,0
16,-6.0,40,4.0,1.0,-17.4,0.55,0.0,0.0,1,0,0
17,-7.1,44,4.2,1.0,-17.3,0.18,0.0,0.0,1,0,0
18,-7.9,43,3.3,1.0,-18.3,0.0,0.0,0.0,1,0,0
19,-8.6,45,3.9,1.0,-18.4,0.0,0.0,0.0,1,0,0
20,-9.3,49,3.8,1.0,-18.0,0.0,0.0,0.0,1,0,0
21,-9.7,51,2.5,1.0,-17.9,0.0,0.0,0.0,1,0,0
22,-10.2,50,3.0,1.0,-18.6,0.0,0.0,0.0,1,0,0
23,-10.7,53,1.2,1.0,-18.4,0.0,0.0,0.0,1,0,0
0,-11.0,51,1.1,1.0,-19.1,0.0,0.0,0.0,1,0,0
1,-11.2,51,1.1,1.0,-19.3,0.0,0.0,0.0,1,0,0
2,-11.5,50,0.7,1.0,-19.8,0.0,0.0,0.0,1,0,0
3,-11.6,50,2.2,0.9975,-19.9,0.0,0.0,0.0,1,0,0
4,-11.6,47,2.1,0.991,-20.6,0.0,0.0,0.0,1,0,0
5,-11.6,45,2.8,0.9755,-21.1,0.0,0.0,0.0,1,0,0
6,-11.8,47,2.5,0.9865,-20.8,0.0,0.0,0.0,1,0,0
7,-12.1,50,2.3,0.9645,-20.4,0.0,0.0,0.0,1,0,0
8,-12.3,52,1.3,0.957,-20.1,0.0,0.0,0.0,1,0,0
9,-11.8,46,2.9,0.978,-21.1,0.1,0.0,0.0,1,0,0
10,-10.5,45,3.3,0.9275,-20.1,0.6,0.0,0.0,1,0,0
11,-9.4,42,3.1,0.9075,-19.9,0.93,0.0,0.0,1,0,0
12,-8.3,35,2.9,0.9835,-21.0,1.14,0.0,0.0,1,0,0
13,-6.9,37,2.4,0.9775,-19.1,1.22,0.0,0.0,1,0,0
14,-5.4,32,2.0,0.965,-19.5,1.12,0.0,0.0,1,0,0
15,-5.8,30,2.8,1.0,-20.6,0.92,0.0,0.0,1,0,0
16,-6.0,29,2.8,0.9915,-21.2,0.58,0.0,0.0,1,0,0
17,-7.0,32,2.6,1.0,-20.9,0.19,0.0,0.0,1,0,0
18,-7.7,36,1.0,1.0,-20.2,0.0,0.0,0.0,1,0,0
19,-8.2,43,1.1,1.0,-18.5,0.0,0.0,0.0,1,0,0
20,-8.4,42,1.0,1.0,-19.0,0.0,0.0,0.0,1,0,0
21,-8.8,43,1.4,0.9995,-19.1,0.0,0.0,0.0,1,0,0
22,-9.0,45,1.3,0.9995,-18.7,0.0,0.0,0.0,1,0,0
23,-9.3,47,2.1,1.0,-18.5,0.0,0.0,0.0,1,0,0
0,-9.5,48,1.3,0.998,-18.4,0.0,0.0,0.0,1,0,0
1,-10.2,52,1.6,0.9985,-18.2,0.0,0.0,0.0,1,0,0
2,-10.4,53,1.8,0.9745,-18.1,0.0,0.0,0.0,1,0,0
3,-10.9,55,1.8,0.9565,-18.1,0.0,0.0,0.0,1,0,0
4,-11.4,58,1.3,0.9535,-18.0,0.0,0.0,0.0,1,0,0
5,-11.5,58,1.1,0.9615,-18.1,0.0,0.0,0.0,1,0,0
6,-11.9,57,1.1,0.987,-18.7,0.0,0.0,0.0,1,0,0
7,-11.7,53,1.6,0.999,-19.3,0.0,0.0,0.0,1,0,0
8,-11.4,47,3.3,1.0,-20.4,0.0,0.0,0.0,1,0,0
9,-11.1,46,3.4,0.9905,-20.4,0.1,0.0,0.0,1,0,0
10,-9.5,39,2.1,0.9375,-20.9,0.6,0.0,0.0,1,0,0
11,-8.1,35,1.8,0.903,-20.9,0.96,0.0,0.0,1,0,0
12,-6.5,30,2.9,0.9725,-21.2,1.17,0.0,0.0,1,0,0
13,-5.8,28,2.9,0.9435,-21.4,1.23,0.0,0.0,1,0,0
14,-4.7,27,2.9,0.9415,-20.8,1.12,0.0,0.0,1,0,0
15,-4.9,26,3.1,0.9435,-21.5,0.89,0.0,0.0,1,0,0
16,-4.5,26,2.2,1.0,-21.1,0.56,0.0,0.0,1,0,0
17,-5.6,29,1.7,1.0,-20.8,0.18,0.0,0.0,1,0,0
18,-6.6,33,1.1,1.0,-20.2,0.0,0.0,0.0,1,0,0
19,-6.6,31,1.6,1.0,-20.9,0.0,0.0,0.0,1,0,0
20,-7.6,35,0.8,1.0,-20.4,0.0,0.0,0.0,1,0,0
21,-8.3,39,1.0,1.0,-19.8,0.0,0.0,0.0,1,0,0
22,-8.9,39,0.1,1.0,-20.3,0.0,0.0,0.0,1,0,0
23,-9.2,44,0.4,0.989,-19.2,0.0,0.0,0.0,1,0,0
0,-9.5,50,0.6,0.9765,-18.0,0.0,0.0,0.0,1,0,0
1,-9.8,48,0.8,1.0,-18.7,0.0,0.0,0.0,1,0,0
2,-10.6,44,0.8,0.9515,-20.5,0.0,0.0,0.0,1,0,0
3,-10.7,48,0.4,0.8255,-19.6,0.0,0.0,0.0,1,0,0
4,-11.0,50,0.8,0.859,-19.4,0.0,0.0,0.0,1,0,0
5,-10.8,48,0.8,0.824,-19.6,0.0,0.0,0.0,1,0,0
6,-11.0,55,0.8,0.7705,-18.2,0.0,0.0,0.0,1,0,0
7,-10.9,57,1.1,0.6935,-17.7,0.0,0.0,0.0,1,0,0
8,-10.4,54,1.1,0.716,-17.9,0.01,0.0,0.0,1,0,0
9,-9.4,44,0.5,0.84,-19.4,0.13,0.0,0.0,1,0,0
10,-7.7,43,0.9,0.7775,-18.1,0.35,0.0,0.0,1,0,0
11,-6.1,38,1.0,0.7935,-18.1,0.52,0.0,0.0,1,0,0
12,-4.9,34,1.3,0.884,-18.3,0.6,0.0,0.0,1,0,0
13,-3.8,32,0.9,0.9135,-18.1,0.52,0.0,0.0,1,0,0
14,-2.7,28,0.7,0.9285,-18.7,0.65,0.0,0.0,1,0,0
15,-2.5,29,1.1,0.8335,-18.1,0.48,0.0,0.0,1,0,0
16,-2.4,28,0.9,0.939,-18.4,0.35,0.0,0.0,1,0,0
17,-2.9,31,0.6,0.8615,-17.7,0.09,0.0,0.0,1,0,0
18,-3.5,35,1.1,0.707,-16.7,0.0,0.0,0.0,1,0,0
19,-4.2,40,0.9,0.608,-15.8,0.0,0.0,0.0,1,0,0
20,-4.8,43,1.1,0.6985,-15.4,0.0,0.0,0.0,1,0,0
21,-4.8,45,0.8,0.6755,-14.9,0.0,0.0,0.0,1,0,0
22,-4.9,44,1.1,0.6845,-15.3,0.0,0.0,0.0,1,0,0
23,-5.6,53,1.2,0.645,-13.6,0.0,0.0,0.0,1,0,0
0,-5.7,53,0.6,0.631,-13.7,0.0,0.0,0.0,1,0,0
1,-6.3,57,0.4,0.574,-13.4,0.0,0.0,0.0,1,0,0
2,-6.8,58,0.4,0.5445,-13.6,0.0,0.0,0.0,1,0,0
3,-6.9,56,0.5,0.5555,-14.2,0.0,0.0,0.0,1,0,0
4,-7.1,59,0.8,0.529,-13.7,0.0,0.0,0.0,1,0,0
5,-7.5,64,0.9,0.4945,-13.1,0.0,0.0,0.0,1,0,0
6,-7.4,64,0.7,0.453,-13.0,0.0,0.0,0.0,1,0,0
7,-7.0,63,0.6,0.4325,-12.8,0.0,0.0,0.0,1,0,0
8,-6.6,64,1.1,0.3955,-12.2,0.0,0.0,0.0,1,0,0
